  49  11
       POLYID        HOVAL          INC        CRIME         OPEN        PLUMB       DISCBD            X            Y           EW           CP
            1    80.467003       19.531     15.72598     2.850747     0.217155         5.03    38.799999        44.07            1            0
            2    44.567001       21.232    18.801754      5.29672     0.320581         4.27    35.619999    42.380001            0            0
            3        26.35       15.956    30.626781     4.534649     0.374404         3.89        39.82        41.18            1            0
            4    33.200001        4.477     32.38776     0.394427     1.186944          3.7         36.5        40.52            0            0
            5       23.225       11.252     50.73151     0.405664     0.624596         2.83    40.009998           38            1            0
            6        28.75    16.028999    26.066658     0.563075      0.25413         3.78        43.75    39.279999            1            0
            7           75        8.438     0.178269            0     2.402402         2.74    33.360001        38.41            0            0
            8       37.125       11.337    38.425858     3.483478     2.739726         2.89    36.709999    38.709999            0            0
            9    52.599998       17.586    30.515917     0.527488     0.890736         3.17    43.439999    35.919998            1            0
           10    96.400002       13.598    34.000835     1.548348     0.557724         4.33    47.610001    36.419998            1            0
           11    19.700001        7.467    62.275448            0     1.479915          1.9    37.849998    36.299999            0            1
           12         19.9       10.048    56.705669     3.157895     2.635046         1.91    37.130001    36.119999            0            1
           13    41.700001        9.549    46.716129            0     6.328423         2.09    35.950001    36.400002            0            1
           14    42.900002        9.963    57.066132     0.477104     5.110962         1.83    35.720001    35.599998            0            1
           15           18        9.873    48.585487     0.174325     1.311475          1.7    39.610001        34.91            1            1
           16    18.799999        7.625    54.838711     0.533737       4.6875          1.1    37.599998    34.080002            0            1
           17        41.75        9.798    36.868774     0.448232     1.619745         4.47    48.580002    34.459999            1            0
           18           60       13.185    43.962486    24.998068    13.849287         1.58    36.150002    33.919998            0            1
           19         30.6       11.618    54.521965     0.111111     2.622951         1.53    35.759998        34.66            0            1
           20    81.266998        31.07     0.223797     5.318607     0.167224         3.57        46.73        31.91            1            0
           21       19.975       10.655    40.074074     1.643756     1.559576         1.41    34.080002        30.42            0            1
           22    30.450001       11.709    33.705048     4.539754     1.785714         2.45    43.369999    33.459999            1            1
           23    47.733002    21.155001    20.048504     0.532632     0.216763         4.78    49.610001    32.650002            1            0
           24    53.200001       14.236    38.297871      0.62622    18.811075         0.42    36.599998        32.09            0            1
           25         17.9        8.461    61.299175            0     6.529851         0.83    39.360001    32.880001            1            1
           26    20.299999        8.085    40.969742     1.238288     2.534275          1.5    41.130001    33.139999            1            1
           27    34.099998       10.822     52.79443    19.368099     1.483516         2.24    43.950001    31.610001            1            1
           28        22.85        7.856    56.919785     0.509305     3.001072         1.41    41.310001         30.9            1            1
           29         32.5        8.681    60.750446            0     2.645051         0.81    39.720001    30.639999            1            1
           30         22.5       13.906    68.892044      1.63878    15.600624         0.37    38.290001        30.35            0            1
           31    31.799999    16.940001    17.677214     3.936443      0.85389         3.78    27.940001        29.85            0            0
           32    40.299999    18.941999    19.145592     2.221022     0.255102         4.76    50.110001        29.91            1            0
           33         23.6        9.918    41.968163            0     1.023891         2.28    44.099998         30.4            1            1
           34    28.450001       14.948    23.974028     3.029087     0.386803         3.06        30.32        28.26            0            0
           35           27       12.814    39.175053     4.220401     0.633675         2.37    43.700001        29.18            1            1
           36    36.299999       18.739    14.305556     6.773331     0.332349         4.23        27.27    28.209999            0            0
           37    43.299999       17.017    42.445076     4.839273     1.230329         1.08        38.32        28.82            1            1
           38    22.700001       11.107    53.710938            0          0.8         1.58    41.040001    28.780001            1            1
           39    39.599998    18.476999    19.100863            0     0.314663         5.53        24.25    26.690001            0            0
           40    61.950001       29.833    16.241299      6.45131     0.132743          4.4    48.439999        27.93            1            0
           41    42.099998    22.207001    18.905146     0.293317     0.247036         5.33    51.240002    27.799999            1            0
           42       44.333    25.872999     16.49189     1.792993     0.134439         3.87        29.02        26.58            0            0
           43    25.700001        13.38    36.663612            0     0.589226         1.95        41.09        27.49            1            1
           44         33.5       16.961    25.962263     1.463993     0.329761         2.67        43.23    27.309999            1            0
           45       27.733       14.135    29.028488     1.006118       2.3912         2.13        39.32        25.85            1            1
           46    76.099998    18.323999    16.530533     9.683953     0.424628         5.27    25.469999    25.709999            0            0
           47         42.5    18.950001    27.822861            0     0.268817         5.57    50.889999        25.24            1            0
           48    26.799999       11.813    26.645266     4.884389     1.034807         2.33    41.209999         25.9            1            1
           49    35.799999       18.796    22.541491     0.259826     0.901442         3.03    42.669998    24.959999            1            0
